Forty Fifty Sixty Seventy Eighty Ninety
ENSG00000228638 0 0 0 1 0 0
ENSG00000088538 0 0 0 1 0 0
ENSG00000251664 0 0 0 1 0 0
ENSG00000196236 0 0 0 1 1 0
ENSG00000111725 0 0 0 1 0 0
ENSG00000268218 0 0 0 1 0 0
ENSG00000168477 0 0 0 0 1 0
ENSG00000156398 0 0 0 0 1 0
ENSG00000228223 0 0 0 0 1 0
ENSG00000110492 0 0 0 0 1 0
ENSG00000140564 0 0 0 0 1 1
ENSG00000137343 0 0 0 0 1 0
ENSG00000149930 0 0 0 0 1 0
ENSG00000177096 0 0 0 0 1 1
ENSG00000151320 0 0 0 0 1 0
ENSG00000254377 0 0 0 0 1 0
ENSG00000100167 0 0 0 0 1 0
ENSG00000167004 0 0 0 0 1 1
ENSG00000090238 0 0 0 0 1 0
ENSG00000164088 0 0 0 0 1 0
ENSG00000162753 0 0 0 0 1 1
ENSG00000165046 0 0 0 0 1 1
ENSG00000250067 0 0 0 0 1 0
ENSG00000147535 0 0 0 0 1 1
ENSG00000156599 0 0 0 0 1 0
ENSG00000204315 0 0 0 0 1 0
ENSG00000139547 0 0 0 0 1 0
ENSG00000115392 0 0 0 0 1 0
ENSG00000163673 0 0 0 0 1 0
ENSG00000205702 0 0 0 0 1 1
ENSG00000120329 0 0 0 0 1 0
ENSG00000112245 0 0 0 0 1 0
ENSG00000164100 0 0 0 0 1 1
ENSG00000213760 0 0 0 0 1 0
ENSG00000213996 0 0 0 0 1 0
ENSG00000197921 0 0 0 0 1 0
ENSG00000236296 0 0 0 0 1 1
ENSG00000111328 0 0 0 0 1 0
ENSG00000213445 0 0 0 0 1 0
ENSG00000206337 0 0 0 0 1 0
ENSG00000113119 0 0 0 0 1 0
ENSG00000126456 0 0 0 0 1 0
ENSG00000158792 0 0 0 0 1 1
ENSG00000092847 0 0 0 0 1 0
ENSG00000185215 0 0 0 0 1 0
ENSG00000221988 0 0 0 0 1 0
ENSG00000101365 0 0 0 0 1 1
ENSG00000160741 0 0 0 0 1 0
ENSG00000003249 0 0 0 0 1 0
ENSG00000187605 0 0 0 0 1 0
ENSG00000154217 0 0 0 0 1 0
ENSG00000106829 0 0 0 0 1 0
ENSG00000221823 0 0 0 0 1 0
ENSG00000130783 0 0 0 0 1 0
ENSG00000150967 0 0 0 0 1 0
ENSG00000235370 0 0 0 0 1 1
ENSG00000117593 0 0 0 0 1 0
ENSG00000168016 0 0 0 0 1 0
ENSG00000183604 0 0 0 0 1 0
ENSG00000100372 0 0 0 0 1 0
ENSG00000230071 0 0 0 0 1 0
ENSG00000173825 0 0 0 0 1 0
ENSG00000164815 0 0 0 0 1 0
ENSG00000182264 0 0 0 0 1 0
ENSG00000143545 0 0 0 0 1 0
ENSG00000197951 0 0 0 0 1 0
ENSG00000154898 0 0 0 0 1 0
ENSG00000214575 0 0 0 0 1 1
ENSG00000235863 0 0 0 0 1 0
ENSG00000050405 0 0 0 0 1 0
ENSG00000119242 0 0 0 0 1 1
ENSG00000065413 0 0 0 0 1 0
ENSG00000141076 0 0 0 0 1 0
ENSG00000181126 0 0 0 0 1 0
ENSG00000164077 0 0 0 0 1 0
ENSG00000226266 0 0 0 0 1 0
ENSG00000238217 0 0 0 0 1 0
ENSG00000152219 0 0 0 0 1 0
ENSG00000124613 0 0 0 0 1 1
ENSG00000198315 0 0 0 0 0 1
ENSG00000112343 0 0 0 0 0 1
ENSG00000162267 0 0 0 0 0 1
ENSG00000197062 0 0 0 0 0 1
ENSG00000204472 0 0 0 0 0 1
ENSG00000213780 0 0 0 0 0 1
ENSG00000149932 0 0 0 0 0 1
ENSG00000105726 0 0 0 0 0 1
ENSG00000197696 0 0 0 0 0 1
ENSG00000129933 0 0 0 0 0 1
ENSG00000247735 0 0 0 0 0 1
ENSG00000204301 0 0 0 0 0 1
ENSG00000010319 0 0 0 0 0 1
ENSG00000184903 0 0 0 0 0 1
ENSG00000204536 0 0 0 0 0 1
ENSG00000130921 0 0 0 0 0 1
ENSG00000196510 0 0 0 0 0 1
ENSG00000092470 0 0 0 0 0 1
ENSG00000167371 0 0 0 0 0 1
ENSG00000230747 0 0 0 0 0 1
ENSG00000144619 0 0 0 0 0 1
ENSG00000162972 0 0 0 0 0 1
ENSG00000183172 0 0 0 0 0 1
ENSG00000023902 0 0 0 0 0 1
ENSG00000143418 0 0 0 0 0 1
ENSG00000140600 0 0 0 0 0 1
ENSG00000142599 0 0 0 0 0 1
ENSG00000120314 0 0 0 0 0 1
ENSG00000107872 0 0 0 0 0 1
